Parameter S1 S1_conf ST ST_conf
M_ala_L_c_exchange_reverse -0.002231 0.014141 0.003294 0.000530
M_arg_L_c_exchange_reverse -0.001209 0.005685 0.000533 0.000101
M_asn_L_c_exchange_reverse 0.002603 0.007387 0.000900 0.000130
M_asp_L_c_exchange_reverse -0.000104 0.033562 0.019360 0.002262
M_cys_L_c_exchange_reverse 0.002749 0.007119 0.000867 0.000110
M_glu_L_c_exchange_reverse 0.036060 0.065911 0.073991 0.008962
M_gln_L_c_exchange_reverse 0.036126 0.062330 0.063333 0.007740
M_gly_L_c_exchange_reverse -0.000095 0.000747 0.000009 0.000007
M_ile_L_c_exchange_reverse 0.003927 0.009474 0.001496 0.000323
M_leu_L_c_exchange_reverse 0.022134 0.040695 0.028468 0.003563
M_his_L_c_exchange_reverse 0.012938 0.038950 0.024348 0.002098
M_lys_L_c_exchange_reverse 0.008162 0.021114 0.007672 0.001205
M_met_L_c_exchange_reverse 0.000225 0.004065 0.000244 0.000051
M_phe_L_c_exchange_reverse 0.142173 0.093577 0.144646 0.011686
M_pro_L_c_exchange_reverse 0.003341 0.007695 0.000905 0.000226
M_ser_L_c_exchange_reverse 0.002278 0.030290 0.013909 0.001569
M_thr_L_c_exchange_reverse -0.003488 0.013405 0.002872 0.000608
M_trp_L_c_exchange_reverse 0.001783 0.015910 0.004192 0.000572
M_tyr_L_c_exchange_reverse 0.022247 0.042298 0.030410 0.003384
M_val_L_c_exchange_reverse 0.021455 0.036737 0.020211 0.002638
M_glc_D_c_exchange_reverse 0.479168 0.173885 0.551998 0.035310
M_o2_c_exchange_reverse -0.003919 0.007357 0.000773 0.000663
translation_initiation 0.149365 0.071220 0.166616 0.035139
transcriptional_initiation 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
M_ala_L_c_exchange_reverse M_arg_L_c_exchange_reverse 0.008330 0.023287
M_ala_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.008347 0.023279
M_ala_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.008526 0.023159
M_ala_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.008328 0.023277
M_ala_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.008338 0.023209
M_ala_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.007833 0.023218
M_ala_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.008304 0.023281
M_ala_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.008267 0.023290
M_ala_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.008463 0.023236
M_ala_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.008437 0.023365
M_ala_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.008370 0.023285
M_ala_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.008300 0.023282
M_ala_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.008521 0.023322
M_ala_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.008251 0.023280
M_ala_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.008205 0.023248
M_ala_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.008215 0.023264
M_ala_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.008344 0.023284
M_ala_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.008240 0.023257
M_ala_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.008590 0.023300
M_ala_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.008024 0.021977
M_ala_L_c_exchange_reverse M_o2_c_exchange_reverse 0.008322 0.023281
M_ala_L_c_exchange_reverse translation_initiation 0.007489 0.023261
M_ala_L_c_exchange_reverse transcriptional_initiation 0.008303 0.023281
M_arg_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.001035 0.010081
M_arg_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.000841 0.010074
M_arg_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.001013 0.010081
M_arg_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.000937 0.010095
M_arg_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.001114 0.010061
M_arg_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.001017 0.010080
M_arg_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.000996 0.010082
M_arg_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.000978 0.010087
M_arg_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.001001 0.010087
M_arg_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.000987 0.010071
M_arg_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.001008 0.010080
M_arg_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.000822 0.010134
M_arg_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.001025 0.010078
M_arg_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.000968 0.010074
M_arg_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.001005 0.010083
M_arg_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.000989 0.010085
M_arg_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.001070 0.010093
M_arg_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.000891 0.010079
M_arg_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.000983 0.010088
M_arg_L_c_exchange_reverse M_o2_c_exchange_reverse 0.001016 0.010080
M_arg_L_c_exchange_reverse translation_initiation 0.001126 0.010100
M_arg_L_c_exchange_reverse transcriptional_initiation 0.001016 0.010080
M_asn_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.000675 0.013795
M_asn_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.000732 0.013840
M_asn_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.000724 0.013871
M_asn_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.000620 0.013828
M_asn_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.000694 0.013840
M_asn_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.000720 0.013843
M_asn_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.000618 0.013863
M_asn_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.000707 0.013838
M_asn_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.000795 0.013844
M_asn_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.000679 0.013834
M_asn_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.000887 0.013865
M_asn_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.000699 0.013838
M_asn_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.000803 0.013841
M_asn_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.000709 0.013836
M_asn_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.000601 0.013845
M_asn_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.000728 0.013857
M_asn_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.000658 0.013842
M_asn_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.000035 0.013665
M_asn_L_c_exchange_reverse M_o2_c_exchange_reverse 0.000690 0.013840
M_asn_L_c_exchange_reverse translation_initiation 0.000397 0.013870
