Parameter S1 S1_conf ST ST_conf
M_ala_L_c_exchange_reverse -0.000107 0.017699 0.004504 0.000822
M_arg_L_c_exchange_reverse -0.000622 0.007083 0.000840 0.000151
M_asn_L_c_exchange_reverse 0.001360 0.009207 0.001281 0.000184
M_asp_L_c_exchange_reverse 0.007533 0.037468 0.023056 0.003200
M_cys_L_c_exchange_reverse -0.000622 0.009678 0.001486 0.000168
M_glu_L_c_exchange_reverse 0.019409 0.074221 0.083006 0.010830
M_gln_L_c_exchange_reverse 0.034276 0.071521 0.075262 0.009248
M_gly_L_c_exchange_reverse 0.000122 0.005908 0.000553 0.000148
M_ile_L_c_exchange_reverse 0.004092 0.011253 0.002057 0.000405
M_leu_L_c_exchange_reverse 0.024439 0.046760 0.036281 0.004643
M_his_L_c_exchange_reverse 0.016308 0.049209 0.035473 0.003121
M_lys_L_c_exchange_reverse 0.004018 0.026392 0.010946 0.001684
M_met_L_c_exchange_reverse -0.000245 0.004693 0.000302 0.000056
M_phe_L_c_exchange_reverse 0.012141 0.026566 0.011246 0.002594
M_pro_L_c_exchange_reverse 0.005669 0.009815 0.001346 0.000329
M_ser_L_c_exchange_reverse 0.010727 0.034521 0.018328 0.002138
M_thr_L_c_exchange_reverse -0.004042 0.016540 0.004109 0.000747
M_trp_L_c_exchange_reverse 0.006196 0.019431 0.005699 0.000727
M_tyr_L_c_exchange_reverse 0.024946 0.050901 0.042735 0.004768
M_val_L_c_exchange_reverse 0.012940 0.041865 0.026640 0.003626
M_glc_D_c_exchange_reverse 0.530535 0.185985 0.559963 0.037920
M_o2_c_exchange_reverse 0.001806 0.009601 0.001346 0.001383
translation_initiation 0.212812 0.086498 0.219577 0.040507
transcriptional_initiation 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
M_ala_L_c_exchange_reverse M_arg_L_c_exchange_reverse 0.009163 0.027566
M_ala_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.009238 0.027560
M_ala_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.009397 0.027529
M_ala_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.009263 0.027562
M_ala_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.009125 0.027551
M_ala_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.008201 0.027423
M_ala_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.009291 0.027568
M_ala_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.009177 0.027553
M_ala_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.009032 0.027492
M_ala_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.009400 0.027592
M_ala_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.009276 0.027590
M_ala_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.009194 0.027563
M_ala_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.009090 0.027578
M_ala_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.009161 0.027557
M_ala_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.009280 0.027510
M_ala_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.009106 0.027539
M_ala_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.009243 0.027565
M_ala_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.009346 0.027524
M_ala_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.009413 0.027579
M_ala_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.008830 0.026185
M_ala_L_c_exchange_reverse M_o2_c_exchange_reverse 0.009229 0.027567
