Parameter S1 S1_conf ST ST_conf
M_ala_L_c_exchange_reverse -0.001664 0.014021 0.003310 0.000529
M_arg_L_c_exchange_reverse -0.000904 0.005945 0.000530 0.000099
M_asn_L_c_exchange_reverse 0.002241 0.007384 0.000893 0.000127
M_asp_L_c_exchange_reverse 0.000861 0.034846 0.020029 0.002383
M_cys_L_c_exchange_reverse 0.003243 0.007903 0.001047 0.000119
M_glu_L_c_exchange_reverse 0.037399 0.064629 0.072910 0.009190
M_gln_L_c_exchange_reverse 0.035333 0.060249 0.062435 0.007911
M_gly_L_c_exchange_reverse 0.000614 0.004979 0.000357 0.000097
M_ile_L_c_exchange_reverse 0.004491 0.008938 0.001492 0.000330
M_leu_L_c_exchange_reverse 0.020917 0.040462 0.028820 0.003805
M_his_L_c_exchange_reverse 0.015194 0.036484 0.024181 0.002163
M_lys_L_c_exchange_reverse 0.009500 0.021209 0.007793 0.001307
M_met_L_c_exchange_reverse 0.000398 0.003684 0.000203 0.000045
M_phe_L_c_exchange_reverse 0.141494 0.090966 0.145304 0.011508
M_pro_L_c_exchange_reverse -0.000210 0.001699 0.000046 0.000061
M_ser_L_c_exchange_reverse 0.005336 0.029310 0.014698 0.001633
M_thr_L_c_exchange_reverse -0.002058 0.012973 0.002904 0.000622
M_trp_L_c_exchange_reverse 0.001775 0.015440 0.004233 0.000575
M_tyr_L_c_exchange_reverse 0.021048 0.041952 0.030224 0.003350
M_val_L_c_exchange_reverse 0.021527 0.033610 0.020321 0.002825
M_glc_D_c_exchange_reverse 0.476159 0.170997 0.550558 0.035584
M_o2_c_exchange_reverse -0.004060 0.007819 0.000835 0.000751
translation_initiation 0.150744 0.071691 0.167853 0.036412
transcriptional_initiation 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
M_ala_L_c_exchange_reverse M_arg_L_c_exchange_reverse 0.006741 0.022942
M_ala_L_c_exchange_reverse M_asn_L_c_exchange_reverse 0.006757 0.022929
M_ala_L_c_exchange_reverse M_asp_L_c_exchange_reverse 0.007009 0.022784
M_ala_L_c_exchange_reverse M_cys_L_c_exchange_reverse 0.006764 0.022939
M_ala_L_c_exchange_reverse M_glu_L_c_exchange_reverse 0.006727 0.022891
M_ala_L_c_exchange_reverse M_gln_L_c_exchange_reverse 0.006354 0.022865
M_ala_L_c_exchange_reverse M_gly_L_c_exchange_reverse 0.006774 0.022938
M_ala_L_c_exchange_reverse M_ile_L_c_exchange_reverse 0.006691 0.022944
M_ala_L_c_exchange_reverse M_leu_L_c_exchange_reverse 0.006845 0.022895
M_ala_L_c_exchange_reverse M_his_L_c_exchange_reverse 0.006848 0.023007
M_ala_L_c_exchange_reverse M_lys_L_c_exchange_reverse 0.006788 0.022952
M_ala_L_c_exchange_reverse M_met_L_c_exchange_reverse 0.006707 0.022935
M_ala_L_c_exchange_reverse M_phe_L_c_exchange_reverse 0.006887 0.023013
M_ala_L_c_exchange_reverse M_pro_L_c_exchange_reverse 0.006719 0.022935
M_ala_L_c_exchange_reverse M_ser_L_c_exchange_reverse 0.006576 0.022911
M_ala_L_c_exchange_reverse M_thr_L_c_exchange_reverse 0.006615 0.022926
M_ala_L_c_exchange_reverse M_trp_L_c_exchange_reverse 0.006758 0.022931
M_ala_L_c_exchange_reverse M_tyr_L_c_exchange_reverse 0.006664 0.022924
M_ala_L_c_exchange_reverse M_val_L_c_exchange_reverse 0.007034 0.022946
M_ala_L_c_exchange_reverse M_glc_D_c_exchange_reverse 0.006626 0.021493
M_ala_L_c_exchange_reverse M_o2_c_exchange_reverse 0.006737 0.022937
